# Chunk-averaged data for fix profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass v_disp v_vx v_vy v_vz v_s22 v_s11 v_s33 v_vo
100 50 17279.8
  40 0.79 379.4 2.08852 -0.0358534 0.0119612 -2.00551 0.00438807 -2.82773 -0.425844 21.4383 10.2192
  41 0.81 377.8 2.07326 -0.0363232 -0.0285422 -2.00651 0.0231518 -13.5158 -2.18063 26.4671 10.4226
  42 0.83 339.2 1.83547 -0.0362473 -0.0470609 -1.98551 0.00041036 -56.3068 -14.7194 -8.46539 10.2513
  43 0.85 369.2 1.99031 -0.035854 -0.0167162 -1.99562 0.0042807 2.8828 9.20779 -1.79575 10.1233
  44 0.87 374.6 2.00366 -0.0362776 -0.00739832 -2.00243 0.00250322 -4.08348 -40.0944 4.35503 10.2826
  45 0.89 356.4 1.94462 -0.0364797 -0.0230782 -2.0197 -0.0298188 -9.00275 8.42089 -8.22629 10.0639
  46 0.91 365.2 1.97059 -0.0372297 -0.0294899 -2.06289 0.0145374 -15.4986 2.71148 18.1289 10.04
  47 0.93 386.8 2.11624 -0.0377168 -0.014572 -2.11484 0.013671 18.3975 14.0658 18.8035 10.2578
  48 0.95 376 2.06391 -0.0375043 -0.00751068 -2.04392 0.0443021 -15.683 -4.81453 9.72652 10.0818
  49 0.97 335.8 1.7847 -0.0367552 -0.00174486 -2.02347 -0.00620876 -21.4639 -12.9367 -26.5531 10.7087
  50 0.99 168.8 0.927926 -0.0292497 -0.0322641 -2.1027 -0.0418513 -5.99655 -13.6572 -16.2192 21.8283
300 50 17280
  1 0.01 2.4 0.00241268 -0.0128051 -3.73191 4.29053 -0.777528 22.3314 -23.5218 1.8137 663.785
  2 0.03 27.2 0.170781 -0.0829282 0.0528312 -2.29549 0.354363 -56.5989 -71.9916 -82.496 161.966
  3 0.05 318 1.74226 -0.0571834 0.111308 -2.07808 -0.0323249 -26.5683 -20.9857 -13.4507 16.5989
  4 0.07 344.8 1.8528 -0.0549592 0.0212506 -1.9775 0.0283913 19.003 11.7411 -8.40543 10.3208
  5 0.09 382.6 2.05523 -0.0529954 -0.0228696 -1.94935 -0.0506178 1.3321 -9.90608 23.0777 10.0481
  6 0.11 377.6 2.02772 -0.0529931 0.0302445 -1.87853 0.0175677 9.3027 -5.51322 23.5377 9.96521
  7 0.13 351.2 1.91495 -0.054829 0.123527 -1.98107 -0.0249471 -11.4284 5.98288 5.1608 10.0512
  8 0.15 367.6 2.00024 -0.0557701 0.0190639 -1.95796 -0.0313391 -39.2837 -23.7804 -3.13577 10.1974
  9 0.17 382.2 2.10204 -0.0558738 -6.90116e-05 -1.99507 0.0133911 -14.4607 4.2478 31.7631 10.4805
  10 0.19 348.6 1.8714 -0.0554839 -0.000666836 -1.98452 -0.0260094 -38.466 2.34133 0.858602 10.172
  11 0.21 360.8 1.96248 -0.0552856 0.0635446 -2.0321 0.0282975 11.6166 13.5635 11.8671 10.0829
  12 0.23 381.4 2.04284 -0.0566761 0.0194106 -2.03909 -0.0093674 -8.79421 -29.7065 13.5365 10.2757
  13 0.25 355.6 1.92603 -0.0566918 0.0176318 -2.01083 0.00378755 9.98044 -0.106827 15.8672 10.1769
  14 0.27 351 1.90801 -0.0562236 -0.0421547 -2.04545 0.0215738 -22.1668 23.4764 17.6075 10.225
  15 0.29 385.2 2.08923 -0.0556833 0.0150261 -2.03687 -0.039225 -12.929 -10.8198 -3.37293 10.4216
  16 0.31 364.6 1.98919 -0.0553986 0.0684962 -1.98156 0.0216043 -16.8513 10.624 29.6853 10.1567
  17 0.33 350.2 1.91406 -0.0567539 -0.0261932 -2.03867 -0.0309749 -9.91172 -7.85559 1.02713 10.1719
  18 0.35 374 1.99697 -0.0563446 -0.0240419 -1.98475 -0.0342545 21.7976 0.672425 25.8156 10.2963
  19 0.37 361.6 1.94858 -0.056361 -0.0195375 -1.99613 0.0562784 19.274 -8.71392 8.41869 10.168
  20 0.39 347 1.87594 -0.0553433 0.0648668 -1.96448 0.00753648 -39.5802 5.35261 7.73047 10.1951
  21 0.41 380.4 2.08913 -0.0557856 0.0545395 -1.9951 0.00179211 -35.147 -28.753 -16.3966 10.2985
  22 0.43 375.2 2.05688 -0.0565745 -0.0465203 -2.00025 -0.00497192 -39.194 -34.016 9.74031 10.3702
  23 0.45 341.6 1.85641 -0.0561683 -0.0265967 -1.99753 0.0432282 -26.0551 17.901 -2.00994 10.2597
  24 0.47 367.6 1.96695 -0.0558556 -0.0162694 -2.0569 0.0297404 -10.3774 -18.3511 7.21212 10.1466
  25 0.49 370.4 1.97844 -0.0558407 0.0271253 -2.03079 4.81044e-05 2.51904 -24.668 22.8436 10.2341
  26 0.51 353.2 1.92377 -0.0562376 0.0586362 -2.0411 -0.0474608 -1.77215 16.4237 11.7523 10.1436
  27 0.53 365.6 2.00344 -0.0569222 0.00280563 -1.98601 -0.0381077 -33.2606 -25.636 12.7796 10.2288
  28 0.55 377.6 2.06186 -0.0560746 -0.0601664 -2.01541 -0.000381189 -9.43109 -3.93927 16.8015 10.5216
  29 0.57 355 1.90928 -0.0555829 0.049925 -1.99609 0.0175339 -30.933 10.8924 10.3551 10.1463
  30 0.59 358.6 1.95445 -0.0555748 0.00011805 -2.04479 -0.000450841 -2.32007 10.2323 7.18682 10.0914
  31 0.61 380.2 2.02645 -0.056593 -0.00784065 -2.03242 -0.0311031 13.8854 -20.3475 23.909 10.291
  32 0.63 357.8 1.9549 -0.0567614 -0.00754936 -1.97878 -0.0030239 13.6827 15.012 6.45466 10.149
  33 0.65 349.6 1.87425 -0.0559648 -0.0346908 -1.96412 0.030872 -31.1865 1.37704 18.7351 10.229
  34 0.67 384.8 2.10303 -0.0554235 0.0660311 -2.00492 -0.0316349 -13.1923 -9.56787 7.54643 10.4295
  35 0.69 364.8 1.99515 -0.0558768 0.0068454 -1.99568 0.000699378 -45.5174 -22.3264 -9.96902 10.2025
  36 0.71 349.8 1.90809 -0.0564101 -0.0140372 -2.00413 -0.0198202 -17.6444 -9.75804 17.3965 10.1489
  37 0.73 371 1.98084 -0.0562852 -0.00815326 -1.94578 -0.0263684 -8.64177 -29.7723 12.9215 10.3022
  38 0.75 361.2 1.94645 -0.0562466 -0.0334506 -1.99891 0.0267457 -7.37147 -11.8027 -15.9938 10.1272
  39 0.77 347 1.87655 -0.0550326 0.0588989 -1.99204 -0.0227484 -41.0892 11.4686 4.55265 10.2288
  40 0.79 381 2.091 -0.0555926 0.0800261 -1.9782 -0.0260098 -1.79397 0.264156 29.6558 10.2795
  41 0.81 377.6 2.07666 -0.0566334 0.00730911 -1.9957 0.00190412 -7.58169 -15.2191 41.5677 10.3862
  42 0.83 339.4 1.84314 -0.0564268 -0.00599343 -1.98008 -0.0129656 -38.3845 7.12702 -9.8146 10.2531
  43 0.85 367 1.95947 -0.0557112 -0.0499614 -1.98298 -0.0254176 17.1108 -1.16631 19.4732 10.1478
  44 0.87 373 1.98922 -0.0562918 0.0940985 -1.99887 0.0131996 4.2949 -28.2232 20.4345 10.2117
  45 0.89 360 1.9644 -0.05682 0.0662293 -2.03592 -0.0363351 -3.66032 12.2676 -0.419651 10.0781
  46 0.91 367.6 1.99187 -0.058005 -0.0416784 -2.08278 0.00303612 -35.7502 -22.968 -13.5143 10.0688
  47 0.93 383.6 2.09608 -0.058425 -0.0107253 -2.04822 0.00014173 -10.3412 -7.65292 -1.09813 10.285
  48 0.95 373.2 2.03659 -0.0580212 0.0158353 -2.07825 0.0406378 -21.6145 -2.78469 5.28996 10.0183
  49 0.97 338.8 1.80496 -0.0560865 0.0426021 -1.98485 -0.0640097 3.08116 4.50966 5.86103 10.7265
  50 0.99 173.8 0.958976 -0.0504629 0.174853 -1.86424 0.000617953 6.22726 -3.83594 12.6987 21.2681
400 50 17279.2
  1 0.01 4 0.0111656 -0.0927514 -1.97386 0.904996 -0.34361 -157.18 -83.7979 -20.3955 468.421
  2 0.03 54.2 0.333621 -0.116289 0.202462 -2.28375 -0.0201872 14.767 -29.2905 23.0417 88.8093
  3 0.05 340.6 1.83315 -0.0775183 0.00580279 -1.94183 -0.116336 -8.02631 0.0424471 -0.169858 13.4749
  4 0.07 343.4 1.86373 -0.0744853 -0.109346 -1.94145 -0.0229657 -27.055 -0.0807761 5.91272 10.4358
  5 0.09 366 1.99652 -0.0720512 -0.047856 -1.85493 -0.0229963 12.26 13.6465 4.60117 9.93948
  6 0.11 389.8 2.08698 -0.0721112 0.00783928 -1.94557 0.000890592 -7.46324 -43.6528 1.47616 10.0319
  7 0.13 366.4 1.9951 -0.0748221 -0.0225551 -1.93027 0.0202721 23.1053 2.142 14.1304 9.971
  8 0.15 343 1.84383 -0.0756805 -0.0446975 -1.97463 0.022129 -49.0739 -6.55934 -8.03155 10.1864
  9 0.17 381.6 2.09808 -0.0756692 -0.045313 -1.95709 0.0106064 -15.666 -2.10794 13.8285 10.4463
  10 0.19 371.6 2.03552 -0.0755761 -0.0148831 -2.01638 0.00699402 -12.3488 -4.73568 10.6669 10.2375
  11 0.21 346 1.88685 -0.0756657 0.0316563 -2.01791 0.0544927 -8.34393 26.6328 -5.3053 10.1861
  12 0.23 368.6 1.98145 -0.0765127 -0.0162316 -1.94574 0.0198485 -16.5109 -31.534 -10.9384 10.1578
  13 0.25 371.4 1.98493 -0.0770483 -0.0801379 -1.98373 0.0105054 20.053 -9.85475 20.5924 10.2939
  14 0.27 340.2 1.85659 -0.0763663 -0.0177775 -2.00987 0.0372136 -8.58406 32.6531 19.1085 10.1477
  15 0.29 372.6 2.0447 -0.0752833 -0.0232281 -1.95518 -0.0446455 -24.9608 -1.09514 -1.63041 10.329
  16 0.31 382.4 2.10326 -0.0756693 0.0757162 -2.02411 0.0337627 13.1031 -6.33856 22.3485 10.3137
  17 0.33 350.2 1.8858 -0.077005 -0.0629616 -1.98097 0.0368471 -27.6611 -6.97875 1.70583 10.1732
  18 0.35 353.6 1.91902 -0.0762306 -0.0303769 -1.99751 -0.0232785 -3.31475 -0.875519 11.4731 10.2468
  19 0.37 376.6 2.02572 -0.0760097 -0.0368118 -1.99569 0.034871 19.0384 -11.7591 14.7101 10.2708
  20 0.39 352.6 1.9084 -0.0753573 -0.00910985 -2.01871 -0.0188992 -23.7175 3.72608 -19.2547 10.1366
  21 0.41 360.6 1.98007 -0.0758331 0.0585802 -2.00146 -0.0106232 -33.0291 -15.5113 0.694737 10.1292
  22 0.43 383.2 2.08033 -0.0766608 0.00447631 -2.00217 0.0710307 -19.6298 -33.7643 -11.026 10.4525
  23 0.45 351 1.90944 -0.0764396 -0.0419004 -2.00232 0.0302688 -27.6447 22.1316 14.3473 10.3051
  24 0.47 359.4 1.9674 -0.0756213 -0.0417827 -1.97447 -0.0415632 -24.1136 -20.5715 -3.67075 10.1431
  25 0.49 378.6 2.02885 -0.0756092 0.0454056 -1.9693 0.0252772 -9.66226 -25.0456 -2.21741 10.2558
  26 0.51 355 1.92885 -0.0765117 0.0312711 -1.97555 0.0293457 21.5299 -10.7853 17.5575 10.0792
  27 0.53 348.8 1.87509 -0.0770503 -0.0431963 -1.98627 0.0434056 -31.4591 9.05336 14.1263 10.2257
  28 0.55 382.6 2.10638 -0.0762497 -0.121197 -1.96278 0.0388015 -24.0093 -17.6819 3.57587 10.4779
  29 0.57 365.4 2.00239 -0.0752103 -0.0462257 -2.02094 -0.0640622 -28.8845 -14.2203 14.714 10.2244
  30 0.59 349.8 1.90498 -0.0754758 0.0386029 -1.94706 0.0182278 -50.84 -7.54204 -12.9486 10.1252
  31 0.61 371.8 1.99475 -0.0763701 0.00403601 -1.96349 0.0216462 5.48316 -13.4527 13.2114 10.2161
  32 0.63 366.4 1.9652 -0.0767781 -0.0812198 -2.00921 0.0235433 17.1773 -21.4756 -1.67195 10.2624
  33 0.65 342.2 1.86364 -0.0758233 -0.0428089 -1.99583 0.042495 -44.8451 5.36838 14.6814 10.1825
  34 0.67 375.8 2.06541 -0.0753304 -0.0378747 -1.99401 -0.0430549 -16.2825 -13.517 14.1314 10.3332
  35 0.69 381.2 2.09389 -0.075816 0.0273551 -2.02442 0.0482619 -38.2719 -47.6496 -24.7867 10.3067
  36 0.71 344.2 1.86721 -0.0768982 -0.0403652 -2.03239 0.0241831 -28.1425 -7.54028 -5.52426 10.2072
  37 0.73 359 1.93297 -0.0760048 -0.02898 -2.0081 0.0294939 20.1087 15.643 37.5788 10.1956
  38 0.75 376 2.01813 -0.0761772 -0.0692392 -2.00798 0.0264311 -7.87994 -31.2555 -6.86039 10.2733
  39 0.77 344.4 1.86909 -0.0753568 0.00382654 -2.01627 -0.0102492 -44.8618 -9.01629 -16.6436 10.1908
  40 0.79 368 2.02543 -0.0756323 0.0263774 -2.03741 -0.023043 -38.8224 -38.5222 -1.92168 10.1079
  41 0.81 380.4 2.08353 -0.0767796 -0.00578923 -1.99968 0.0896365 -15.5375 -20.0035 9.98385 10.4628
  42 0.83 342.4 1.84116 -0.0762045 -0.0809176 -1.97864 0.0344808 -49.9813 8.15898 -6.0713 10.2503
  43 0.85 368.8 2.01768 -0.0757149 -0.0181157 -2.00162 0.00678905 23.2251 12.468 21.5274 10.1606
  44 0.87 378.6 2.02376 -0.0761347 0.00143082 -1.99807 0.0269883 -6.05586 -30.3372 1.15095 10.2489
  45 0.89 358.2 1.95839 -0.0774944 0.00540805 -2.04234 -0.00954462 2.59064 4.13242 15.1969 9.97872
  46 0.91 357.2 1.91849 -0.0787581 -0.0277408 -2.03609 0.0473324 -39.3085 5.89029 5.7223 10.064
  47 0.93 383.8 2.10977 -0.0793998 -0.0135174 -2.12133 0.0398167 -0.755949 -3.50091 14.5396 10.2456
  48 0.95 380.8 2.0947 -0.078715 0.0278966 -2.06426 0.0298235 -22.2627 -15.3038 -9.32762 10.1681
  49 0.97 330.8 1.75647 -0.0767119 -0.00246728 -2.08048 0.0621284 -15.1388 -20.7983 -23.3718 10.7666
  50 0.99 160 0.886925 -0.0568352 -0.121309 -1.91426 -0.167329 51.0386 -34.8349 -5.27057 22.9402
500 50 17280
  1 0.01 6 0.0228031 -0.162793 -0.764017 -1.69469 -0.111141 142.37 5.91422 -3.04005 346.892
  2 0.03 91 0.541768 -0.141382 -0.0392598 -2.27574 0.224379 -20.5157 -27.7755 -18.6806 55.6475
  3 0.05 341.2 1.82512 -0.0959998 0.0580403 -2.03434 -0.0132343 -44.0791 -17.0307 -8.43702 11.8169
  4 0.07 366.2 2.00694 -0.0929717 -0.0258483 -1.90848 0.0376787 -7.03685 -2.80501 21.8608 10.4444
  5 0.09 351.4 1.91637 -0.0907333 -0.0199966 -1.90768 -0.0147761 -7.24292 7.48384 -4.62566 9.96068
